tau=0.1,tau=0.25,tau=0.5,tau=1,tau=5,naive
0.10242635019497195,0.9368600220894108,0.3280207095505786,0.7162833288186355,0.9617134110879519,1.9227510614117094e-05
0.8217812950589679,0.3686954619520715,0.9685903634523764,0.35216258741841094,0.9967633822834925,0.008572437718383563
0.7814598877745679,0.8017469125416217,0.6576975050277308,0.2475448565791008,0.33352375636369525,0.010102033439610136
0.1519587738344578,0.006896235536782771,0.07122335836752454,0.5480189212972711,0.20886841117125995,0.0007627352943258003
0.20987149830741478,0.6318742375756858,0.4645032878873486,0.5360022954418259,0.13824398423787349,0.09155366935661835
0.09116130784460406,0.8467818484828397,0.06278157372522455,0.5369981426012795,0.7320349402114078,0.019817528003007734
0.14760798245224507,0.2115588469520693,0.14889238472343558,0.7746852589820743,0.13838979715397323,0.001909597838341548
0.02167415796582668,0.00013612683592754813,0.6852786925667245,0.577693196306967,0.7740445580032294,0.001226335490072894
0.34317757821370726,0.5641057278800319,0.7021823327883898,0.2659562349041339,0.763635553233372,0.00010061804547578657
0.293378063218843,0.763894697484146,0.5242372506975551,0.8733206698684876,0.36576624235118427,1.7671504952243566e-05
0.24863167730088911,0.07954220138607099,0.5668820936076658,0.04284688908153613,0.11670485042567294,0.012078355992263812
0.3255944514133368,0.0257009729499358,0.6564715900277777,0.4427775026999978,0.8154775504911616,9.523720821247306e-05
0.008387734108723496,0.5682295283760508,0.1599799894754976,0.07156326455212242,0.06199237149827702,0.24481509928161715
0.3304953907597471,0.2845668655233988,0.03716994813682723,0.10857870108209049,0.4913852133681935,8.045303630632716e-06
0.9665608770330599,0.607888257057711,0.9845868580258659,0.936716633434025,0.6335161990673925,0.00021580281662703094
0.7591658077042263,0.9646833096928726,0.10967927387221732,0.04826620034661378,0.19654162744703663,0.0007517266877302697
0.9403902986764197,0.6021781223291152,0.28690411428199053,0.9377406675429288,0.48688794339811275,0.010763171987810516
0.23143297357617407,0.6351411272250415,0.6689080499291393,0.1791199476253334,0.8386616425108603,4.855621771326923e-07
0.8259422746083522,0.10751397619685546,0.19241962728539286,0.07897600824762947,0.43119350188730343,0.00011135656096783464
0.09208473172828112,0.4877053995192639,0.5588959886291053,0.09248396729962083,0.5147126266752233,6.724738649932505e-06
0.9166098231636672,0.8804531360035226,0.34597753314319823,0.8066543350937351,0.6880842168962885,0.0008048885192529776
0.3960829560026926,0.3715307192221677,0.8267681247486045,0.8597476520502118,0.8904370544234126,0.006703159501125211
0.9830900203462055,0.8231967516802392,0.8407334042236236,0.8825321550296175,0.8639218908184311,0.005910054264240738
0.18610864068054928,0.40835253625240103,0.3186828915761068,0.8247105103172054,0.8204705273277204,0.0024983540715157737
0.8342176967016915,0.8151889775758687,0.43443069622707214,0.8985752087232045,0.2301870094068138,0.00020536517622293804
0.8318029101718649,0.1528596660544496,0.34684393495664634,0.17085685685110183,0.5733585969617313,0.0034473158815878646
0.32191373390996625,0.8520732062447739,0.8786439658505606,0.1445618112422445,0.9918068019091646,0.047117971996967656
0.08251865091316045,0.5209485603028912,0.8399471939715066,0.6706946829874225,0.09574159921257049,0.0011640011816366203
0.10905520521368678,0.7861440585711178,0.7855859759042794,0.05135515121669217,0.7990776698977543,0.0035588104496100392
0.7299080113678439,0.8146256755277944,0.4997718399573854,0.7122801545537628,0.5594066179591555,0.003950017061329025
0.7869747083290171,0.01905733308795751,0.05364042495547596,0.924233748907709,0.45691009452284936,2.7974204274028303e-05
0.6010170710802798,0.04802970744470066,0.2148558950139878,0.20612141349409352,0.40625037224969573,0.006068074838033066
0.3077728350400849,0.03526850036789535,0.09613459712563631,0.15259374486125935,0.664464965631978,0.0008440876370543471
0.17238149105192976,0.8007334285520956,0.7408302472163693,0.5389372526637335,0.738221433225387,0.26341061658189313
0.8748757888922165,0.9018439082241518,0.3831613695510899,0.8291701032158476,0.20305801929001502,0.00028323694240661723
0.7598412589647615,0.7137376500133183,0.7439371100862425,0.12086186288950193,0.1455108280278542,0.0003265296097286763
0.1295945161028916,0.5958181145454005,0.1851226345367244,0.9922358512703888,0.3220203252117225,0.09355525866494063
